set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
1.7 0.7 0.999543
1.7 0.8 0.999848
1.7 0.9 0.99995
1.7 1 0.999984
1.7 1.1 0.999995
1.7 1.2 0.999999
1.7 1.3 1
1.7 1.4 1
1.7 1.5 1
1.7 1.6 1
1.7 1.7 1
1.7 1.8 1
1.7 1.9 0.666667
1.7 2 0

1.8 0 0
1.8 0.1 0.666667
1.8 0.2 0.888889
1.8 0.3 0.962963
1.8 0.4 0.987654
1.8 0.5 0.995885
1.8 0.6 0.998628
1.8 0.7 0.999543
1.8 0.8 0.999848
1.8 0.9 0.999949
1.8 1 0.999983
1.8 1.1 0.999995
1.8 1.2 0.999998
1.8 1.3 1
1.8 1.4 1
1.8 1.5 1
1.8 1.6 1
1.8 1.7 1
1.8 1.8 1
1.8 1.9 0.666667
1.8 2 0

1.9 0 0
1.9 0.1 0.416667
1.9 0.2 0.576389
1.9 0.3 0.634838
1.9 0.4 0.655623
1.9 0.5 0.662877
1.9 0.6 0.665376
1.9 0.7 0.66623
1.9 0.8 0.666519
1.9 0.9 0.666617
1.9 1 0.66665
1.9 1.1 0.666661
1.9 1.2 0.666665
1.9 1.3 0.666666
1.9 1.4 0.666667
1.9 1.5 0.666667
1.9 1.6 0.666667
1.9 1.7 0.666667
1.9 1.8 0.666667
1.9 1.9 0.333333
1.9 2 0

2 0 0
2 0.1 0
2 0.2 0
2 0.3 0
2 0.4 0
2 0.5 0
2 0.6 0
2 0.7 0
2 0.8 0
2 0.9 0
2 1 0
2 1.1 0
2 1.2 0
2 1.3 0
2 1.4 0
2 1.5 0
2 1.6 0
2 1.7 0
2 1.8 0
2 1.9 0
2 2 0

e
splot '-' w pm3d 
0 0 100
0 0.1 100
0 0.2 100
0 0.3 100
0 0.4 100
0 0.5 100
0 0.6 100
0 0.7 100
0 0.8 100
0 0.9 100
0 1 100
0 1.1 100
0 1.2 100
0 1.3 100
0 1.4 100
0 1.5 100
0 1.6 100
0 1.7 100
0 1.8 100
0 1.9 100
0 2 100

0.1 0 0
0.1 0.1 34.6875
0.1 0.2 44.5859
0.1 0.3 47.4668
0.1 0.4 48.3135
0.1 0.5 48.563
0.1 0.6 48.6364
0.1 0.7 48.6579
0.1 0.8 48.6641
0.1 0.9 48.6659
0.1 1 48.6665
0.1 1.1 48.6666
0.1 1.2 48.6667
0.1 1.3 48.6667
0.1 1.4 48.6667
0.1 1.5 48.6667
0.1 1.6 48.6667
0.1 1.7 48.6667
0.1 1.8 48.6042
0.1 1.9 40.0729
0.1 2 0

0.2 0 0
0.2 0.1 11.7734
0.2 0.2 17.8438
0.2 0.3 20.3462
0.2 0.4 21.2812
0.2 0.5 21.6113
0.2 0.6 21.7234
0.2 0.7 21.7604
0.2 0.8 21.7723
0.2 0.9 21.7761
0.2 1 21.7773
0.2 1.1 21.7776
0.2 1.2 21.7777
0.2 1.3 21.7778
0.2 1.4 21.7778
0.2 1.5 21.7778
0.2 1.6 21.7778
0.2 1.7 21.7778
0.2 1.8 21.684
0.2 1.9 16.5239
0.2 2 0

0.3 0 0
0.3 0.1 4.10742
0.3 0.2 6.96729
0.3 0.3 8.45288
0.3 0.4 9.11874
0.3 0.5 9.39137
0.3 0.6 9.49627
0.3 0.7 9.53482
0.3 0.8 9.54849
0.3 0.9 9.5532
0.3 1 9.55479
0.3 1.1 9.55531
0.3 1.2 9.55548
0.3 1.3 9.55553
0.3 1.4 9.55555
0.3 1.5 9.55555
0.3 1.6 9.55555
0.3 1.7 9.55556
0.3 1.8 9.45009
0.3 1.9 6.96604
0.3 2 0

0.4 0 0
0.4 0.1 1.63379
0.4 0.2 2.92188
0.4 0.3 3.69272
0.4 0.4 4.08643
0.4 0.5 4.26756
0.4 0.6 4.34488
0.4 0.7 4.37607
0.4 0.8 4.38811
0.4 0.9 4.39258
0.4 1 4.3942
0.4 1.1 4.39477
0.4 1.2 4.39496
0.4 1.3 4.39503
0.4 1.4 4.39505
0.4 1.5 4.39506
0.4 1.6 4.39506
0.4 1.7 4.39506
0.4 1.8 4.28569
0.4 1.9 3.08153
0.4 2 0

0.5 0 0
0.5 0.1 0.85791
0.5 0.2 1.50021
0.5 0.3 1.89931
0.5 0.4 2.11759
0.5 0.5 2.2261
0.5 0.6 2.27618
0.5 0.7 2.29796
0.5 0.8 2.30698
0.5 0.9 2.31057
0.5 1 2.31195
0.5 1.1 2.31247
0.5 1.2 2.31265
0.5 1.3 2.31272
0.5 1.4 2.31275
0.5 1.5 2.31275
0.5 1.6 2.31276
0.5 1.7 2.31276
0.5 1.8 2.20216
0.5 1.9 1.52156
0.5 2 0

0.6 0 0
0.6 0.1 0.620026
0.6 0.2 1.02026
0.6 0.3 1.25271
0.6 0.4 1.37857
0.6 0.5 1.44262
0.6 0.6 1.47342
0.6 0.7 1.4875
0.6 0.8 1.49365
0.6 0.9 1.49623
0.6 1 1.49728
0.6 1.1 1.49769
0.6 1.2 1.49785
0.6 1.3 1.49791
0.6 1.4 1.49793
0.6 1.5 1.49794
0.6 1.6 1.49794
0.6 1.7 1.49794
0.6 1.8 1.38698
0.6 1.9 0.905124
0.6 2 0

0.7 0 0
0.7 0.1 0.548439
0.7 0.2 0.863085
0.7 0.3 1.02738
0.7 0.4 1.11009
0.7 0.5 1.15069
0.7 0.6 1.17009
0.7 0.7 1.17908
0.7 0.8 1.18311
0.7 0.9 1.18486
0.7 1 1.1856
0.7 1.1 1.1859
0.7 1.2 1.18602
0.7 1.3 1.18607
0.7 1.4 1.18609
0.7 1.5 1.1861
0.7 1.6 1.1861
0.7 1.7 1.1861
0.7 1.8 1.07503
0.7 1.9 0.665479
0.7 2 0

0.8 0 0
0.8 0.1 0.527229
0.8 0.2 0.812836
0.8 0.3 0.950977
0.8 0.4 1.01515
0.8 0.5 1.04456
0.8 0.6 1.05795
0.8 0.7 1.064
0.8 0.8 1.06669
0.8 0.9 1.06787
0.8 1 1.06838
0.8 1.1 1.06859
0.8 1.2 1.06868
0.8 1.3 1.06872
0.8 1.4 1.06873
0.8 1.5 1.06874
0.8 1.6 1.06874
0.8 1.7 1.06874
0.8 1.8 0.95764
0.8 1.9 0.573704
0.8 2 0

0.9 0 0
0.9 0.1 0.521028
0.9 0.2 0.797085
0.9 0.3 0.925651
0.9 0.4 0.98233
0.9 0.5 1.00678
0.9 0.6 1.01727
0.9 0.7 1.02177
0.9 0.8 1.02371
0.9 0.9 1.02454
0.9 1 1.0249
0.9 1.1 1.02504
0.9 1.2 1.02511
0.9 1.3 1.02513
0.9 1.4 1.02514
0.9 1.5 1.02515
0.9 1.6 1.02515
0.9 1.7 1.02515
0.9 1.8 0.914041
0.9 1.9 0.539022
0.9 2 0

1 0 0
1 0.1 0.519235
1 0.2 0.792229
1 0.3 0.917416
1 0.4 0.971205
1 0.5 0.993578
1 0.6 1.00275
1 0.7 1.00651
